redeem_id,user_id,redeem_date,token_earned,redeem_prize_type,redeem_price_score,token_remained
1,1,2023-01-01 05:33:29,1030,metal_straw,400,630
2,2,2023-01-01 09:21:02,489,metal_straw,400,89
3,3,2023-01-01 03:23:41,1010,metal_straw,400,610
4,4,2023-01-01 08:07:30,1457,metal_straw,400,1057
5,5,2023-01-01 10:09:43,1453,metal_straw,400,1053
6,6,2023-01-01 11:44:47,1293,metal_straw,400,893
7,7,2023-01-01 05:19:49,1374,metal_straw,400,974
8,8,2023-01-01 04:47:23,984,metal_straw,400,584
9,9,2023-01-01 02:38:41,514,metal_straw,400,114
10,10,2023-01-01 14:16:45,953,metal_straw,400,553
11,11,2023-01-01 11:29:04,793,metal_straw,400,393
12,12,2023-01-01 15:13:47,877,metal_straw,400,477
13,13,2023-01-01 02:14:00,1154,towel,100,1054
14,14,2023-01-01 10:07:12,928,metal_straw,400,528
15,15,2023-01-01 03:52:59,1361,metal_straw,400,961
16,16,2023-01-01 15:28:33,685,towel,100,585
17,17,2023-01-01 15:16:31,1436,metal_straw,400,1036
18,18,2023-01-01 08:02:59,1057,metal_straw,400,657
19,19,2023-01-01 15:53:21,591,towel,100,491
20,20,2023-01-01 11:51:59,884,metal_straw,400,484
21,21,2023-01-01 09:36:01,1234,towel,100,1134
22,22,2023-01-01 16:53:38,939,towel,100,839
23,23,2023-01-01 01:48:42,836,metal_straw,400,436
24,24,2023-01-01 04:38:40,986,towel,100,886
25,25,2023-01-01 09:26:32,825,metal_straw,400,425
26,26,2023-01-01 08:08:57,1150,metal_straw,400,750
27,27,2023-01-01 13:54:27,922,towel,100,822
28,28,2023-01-01 11:57:56,1090,towel,100,990
29,29,2023-01-01 11:16:47,469,metal_straw,400,69
30,30,2023-01-01 07:51:51,858,metal_straw,400,458
31,31,2023-01-01 07:29:43,727,metal_straw,400,327
32,32,2023-01-01 04:09:03,749,metal_straw,400,349
33,33,2023-01-01 04:55:41,1459,metal_straw,400,1059
34,34,2023-01-01 03:44:56,703,metal_straw,400,303
35,35,2023-01-01 08:19:26,1186,metal_straw,400,786
36,36,2023-01-01 07:15:50,1370,towel,100,1270
37,37,2023-01-01 06:55:10,1006,metal_straw,400,606
38,38,2023-01-01 02:20:04,717,metal_straw,400,317
39,39,2023-01-01 15:21:15,550,metal_straw,400,150
40,40,2023-01-01 14:11:39,1516,metal_straw,400,1116
41,41,2023-01-01 08:55:15,1450,metal_straw,400,1050
42,42,2023-01-01 13:35:22,1186,metal_straw,400,786
43,43,2023-01-01 02:08:01,1671,metal_straw,400,1271
44,44,2023-01-01 09:39:47,1086,metal_straw,400,686
45,45,2023-01-01 05:42:12,999,metal_straw,400,599
46,46,2023-01-01 13:18:19,904,metal_straw,400,504
47,47,2023-01-01 12:49:06,1573,metal_straw,400,1173
48,48,2023-01-01 02:55:27,1528,metal_straw,400,1128
49,49,2023-01-01 07:53:09,279,towel,100,179
50,50,2023-01-01 04:25:13,979,metal_straw,400,579
51,51,2023-01-01 11:33:55,563,towel,100,463
52,52,2023-01-01 08:18:09,1023,metal_straw,400,623
53,53,2023-01-01 04:50:09,804,metal_straw,400,404
54,54,2023-01-01 15:08:19,832,metal_straw,400,432
55,55,2023-01-01 11:04:24,1196,metal_straw,400,796
56,56,2023-01-01 07:15:16,859,towel,100,759
57,57,2023-01-01 07:37:05,788,metal_straw,400,388
58,58,2023-01-01 15:41:27,1179,metal_straw,400,779
59,59,2023-01-01 11:55:24,938,towel,100,838
60,60,2023-01-01 11:38:54,786,towel,100,686
61,61,2023-01-01 11:51:11,1136,towel,100,1036
62,62,2023-01-01 12:18:52,847,towel,100,747
63,63,2023-01-01 04:54:44,1213,metal_straw,400,813
64,64,2023-01-01 02:59:25,536,metal_straw,400,136
65,65,2023-01-01 06:05:49,1542,metal_straw,400,1142
66,66,2023-01-01 02:24:43,956,towel,100,856
67,67,2023-01-01 13:56:45,483,metal_straw,400,83
68,68,2023-01-01 15:06:06,945,metal_straw,400,545
69,69,2023-01-01 09:00:32,777,metal_straw,400,377
70,70,2023-01-01 14:22:54,962,metal_straw,400,562
71,71,2023-01-01 15:11:15,1525,metal_straw,400,1125
72,72,2023-01-01 12:22:12,680,metal_straw,400,280
73,73,2023-01-01 16:26:22,1138,metal_straw,400,738
74,74,2023-01-01 10:25:29,1028,metal_straw,400,628
75,75,2023-01-01 05:47:04,928,metal_straw,400,528
76,76,2023-01-01 10:02:06,742,towel,100,642
77,77,2023-01-01 05:18:53,1028,towel,100,928
78,78,2023-01-01 03:23:16,879,towel,100,779
79,79,2023-01-01 04:54:10,1010,metal_straw,400,610
80,80,2023-01-01 09:51:05,591,metal_straw,400,191
